J04 J06 J08 F06,3.476934 F39,3.070267 F07,3.482 10.029201
J04 J06 J13 F06,3.476934 F39,3.070267 F04,1.693333 8.240534
J04 J06 J14 F06,3.476934 F39,3.070267 F04,1.624333 8.171534
J04 J06 J15 F06,3.476934 F39,3.070267 F07,1.622667 8.169868
J04 J08 J13 F06,3.476934 F39,2.138667 F04,1.693333 7.308934
J04 J08 J14 F06,3.476934 F39,2.138667 F04,1.624333 7.239934
J04 J08 J15 F06,3.476934 F39,2.138667 F07,1.622667 7.238268
J04 J13 J14 F06,3.476934 F04,1.693333 F05,1.624333 6.7946
J04 J13 J15 F06,3.476934 F04,1.693333 F07,1.622667 6.792934
J04 J14 J15 F06,3.476934 F04,1.624333 F07,1.622667 6.723934
J06 J08 J13 F39,3.070267 F07,3.482 F06,1.560667 8.112934
J06 J08 J14 F39,3.070267 F07,3.482 F06,1.491667 8.043934
J06 J08 J15 F39,3.070267 F07,3.482 F09,1.839333 8.3916
J06 J13 J14 F39,3.070267 F06,1.560667 F04,1.624333 6.255267
J06 J13 J15 F39,3.070267 F06,1.560667 F07,1.622667 6.253601
J06 J14 J15 F39,3.070267 F06,1.491667 F07,1.622667 6.184601
J08 J13 J14 F39,2.138667 F06,1.560667 F04,1.624333 5.323667
J08 J13 J15 F39,2.138667 F06,1.560667 F07,1.622667 5.322001
J08 J14 J15 F39,2.138667 F06,1.491667 F07,1.622667 5.253001
J13 J14 J15 F06,1.560667 F04,1.624333 F07,1.622667 4.807667
J04 J06 F06,3.476934 F39,3.070267 F07,3.6276 10.174801
J06 J04 F39,3.070267 F06,3.476934 F04,3.6096 10.156801
J04 J08 F06,3.476934 F39,2.138667 F07,3.482 9.097601
J08 J04 F39,2.138667 F06,3.476934 F04,3.6096 9.225201
J04 J13 F06,3.476934 F04,1.693333 F05,1.693333 6.8636
J13 J04 F06,1.560667 F04,3.6096 F05,3.6096 8.779867
J04 J14 F06,3.476934 F04,1.624333 F05,1.624333 6.7256
J14 J04 F06,1.491667 F04,3.6096 F05,3.6096 8.710867
J04 J15 F06,3.476934 F07,1.622667 F09,1.839333 6.938934
J15 J04 F07,1.622667 F06,3.476934 F04,3.6096 8.709201
J06 J08 F39,3.070267 F07,3.482 F09,3.698666 10.250933
J08 J06 F39,2.138667 F07,3.6276 F06,3.699734 9.466001
J06 J13 F39,3.070267 F06,1.560667 F04,1.693333 6.324267
J13 J06 F06,1.560667 F39,3.070267 F07,3.6276 8.258534
J06 J14 F39,3.070267 F06,1.491667 F04,1.624333 6.186267
J14 J06 F06,1.491667 F39,3.070267 F07,3.6276 8.189534
J06 J15 F39,3.070267 F07,1.622667 F09,1.839333 6.532267
J15 J06 F07,1.622667 F39,3.070267 F06,3.699734 8.392668
J08 J13 F39,2.138667 F06,1.560667 F04,1.693333 5.392667
J13 J08 F06,1.560667 F39,2.138667 F07,3.482 7.181334
J08 J14 F39,2.138667 F06,1.491667 F04,1.624333 5.254667
J14 J08 F06,1.491667 F39,2.138667 F07,3.482 7.112334
J08 J15 F39,2.138667 F07,1.622667 F09,1.839333 5.600667
J15 J08 F07,1.622667 F39,2.138667 F09,3.698666 7.46
J13 J14 F06,1.560667 F04,1.624333 F05,1.624333 4.809333
J14 J13 F06,1.491667 F04,1.693333 F05,1.693333 4.878333
J13 J15 F06,1.560667 F07,1.622667 F09,1.839333 5.022667
J15 J13 F07,1.622667 F06,1.560667 F04,1.693333 4.876667
J14 J15 F06,1.491667 F07,1.622667 F09,1.839333 4.953667
J15 J14 F07,1.622667 F06,1.491667 F04,1.624333 4.738667
