J51	229.74	41.52
J21	207.11	18.89
J37	198.07	9.85
J15	197.14	8.92
J25	197.14	8.92
J50	194.54	6.32
J44	194.04	5.82
J40	193.94	5.72
J42	193.94	5.72
J46	193.48	5.26
J62	193.14	4.92
J18	192.22	4
J26	192.22	4
J28	192.22	4
J29	192.22	4
J39	192.22	4
J41	192.22	4
J32	190.19	1.97
J23	189.94	1.72
J59	189.94	1.72
J48	189.81	1.59
J61	189.59	1.37
J47	189.4	1.18
J33	189.39	1.17
J13	189.29	1.07
J38	189.26	1.04
J02	188.98	0.76
J11	188.75	0.53
J12	188.62	0.4
J01	188.22	0
J10	188.22	0
J14	188.22	0
J16	188.22	0
J17	188.22	0
J19	188.22	0
J20	188.22	0
J22	188.22	0
J24	188.22	0
J27	188.22	0
J30	188.22	0
J31	188.22	0
J34	188.22	0
J35	188.22	0
J43	188.22	0
J45	188.22	0
J52	188.22	0
J54	188.22	0
J55	188.22	0
J56	188.22	0
J57	188.22	0
J58	188.22	0
J60	188.22	0
J53	181.42	-6.8
J07	180.54	-7.68
J36	178.82	-9.4
J08	176.54	-11.68
J09	176.54	-11.68
J49	173.31	-14.91
J05	173.17	-15.05
J04	172.07	-16.15
J03	162.56	-25.66
J06	156.01	-32.21
