J01 -0.1
J02 45.8
J03 -1539.5
J04 -969.1
J05 -903.0
J06 -1932.3
J07 -460.8
J08 -700.8
J09 -700.8
J10 -0.1
J11 31.9
J12 23.7
J13 64.1
J14 -0.1
J15 535.1
J16 -0.1
J17 -0.1
J18 239.9
J19 -0.1
J20 -0.1
J21 1133.5
J22 -0.1
J23 103.1
J24 -0.1
J25 535.1
J26 239.9
J27 -0.1
J28 239.9
J29 239.9
J30 -0.1
J31 -0.1
J32 117.9
J33 70.4
J34 0.1
J35 -0.1
J36 -564.1
J37 590.8
J38 62.7
J39 239.9
J40 343.1
J41 239.9
J42 343.1
J43 -0.1
J44 348.9
J45 -0.1
J46 315.4
J47 70.5
J48 95.7
J49 -894.9
J50 379.1
J51 2491.1
J52 -0.1
J53 -408.1
J54 -0.1
J55 -0.1
J56 -0.1
J57 -0.1
J58 -0.1
J59 103.1
J60 -0.1
J61 81.9
J62 295.1
