D1  121 8
D2  193 137
Z01 205 92
Z02 159 62
Z03 143 38
Z04 108 80
Z05 55  38
Z06 62  105
F01 135 142
F02 127 143
F03 124 129
F04 115 130
F05 105 130
F06 108 145
F07 90  145
F08 72  142
F09 60  139
F10 70  121
F11 100 121
F12 53  132
F13 37  127
F14 25  120
F15 15  115
F16 7   105
F17 28  106
F18 24  90
F19 45  90
F20 49  82
F21 16  76
F22 15  70
F23 14  56
F24 168 126
F25 165 117
F26 165 105
F27 145 113
F28 132 100
F29 130 94
F30 130 80
F31 110 100
F32 114 90
F33 95  90
F34 95  77
F35 106 63
F36 86  75
F37 72  70
F38 74  60
F39 79  53
F40 68  46
F41 46  20
F42 59  15
F43 77  5
F44 240 127
F45 240 107
F46 230 100
F47 220 98
F48 158 77
F49 176 75
F50 206 77
F51 184 62
F52 215 62
F53 227 64
F54 206 46
F55 231 49
F56 232 37
F57 148 15
F58 170 17
J01 237 137
J02 232 127
J03 204 119
J04 188 100
J05 168 94
J06 143 74
J07 117 67
J08 122 48
J09 108 38
J10 102 23
J11 99  3
J12 170 145
J13 150 133
J14 140 120
J15 105 108
J16 85  92
J17 63  73
J18 53  57
J19 37  41
J20 18  37
J21 130 135
J22 110 139
J23 93  138
J24 66  132
J25 86  122
J26 49  123
J27 18  108
J28 37  91
J29 44  74
J30 24  75
J31 23  57
J32 175 132
J33 175 115
J34 155 105
J35 140 105
J36 137 87
J37 106 94
J38 102 72
J39 77  79
J40 83  65
J41 58  47
J42 93  45
J43 33  29
J44 58  24
J45 80  30
J46 80  13
J47 234 118
J48 220 110
J49 168 83
J50 193 78
J51 149 68
J52 143 55
J53 195 60
J54 164 50
J55 183 50
J56 221 54
J57 165 40
J58 178 33
J59 196 39
J60 226 43
J61 160 18
